wda_id,sd_id,intersect_area_m2,district_pop_in_overlap,district_total_pop,wda_total_pop,district_overlap_pct,wda_pop_in_overlap,wda_overlap_pct,is_display_eligible
WDA_001,SD09,195101832.6943415,227090,991163,1241707,22.91146864844632,227090,18.288533446296107,True
WDA_001,SD10,515419715.1769565,522702,1035025,1241707,50.50138885534166,522702,42.09543797369267,True
WDA_001,SD07,129603426.53886324,247047,958780,1241707,25.76680781826905,247047,19.89575640630197,True
WDA_001,SD05,1084689812.4714959,244868,1024101,1241707,23.910532261954632,244868,19.720272173709258,True
WDA_002,SD37,57385606.161129214,60261,1018565,346842,5.916264548654234,60261,17.374193436781013,True
WDA_002,SD36,22013.605854138434,18,986596,346842,0.0018244549947496241,18,0.005189682910374176,False
WDA_002,SD34,74388953.79322372,286563,945781,346842,30.299086152079603,286563,82.62061688030862,True
WDA_002,SD32,2600.750759273171,0,941977,346842,0.0,0,0.0,False
WDA_003,SD09,1420924951.080257,764073,991163,1049479,77.08853135155368,764073,72.80498228168453,True
WDA_003,SD03,376449093.26745594,130767,1039211,1049479,12.5832963661855,130767,12.460182623949597,True
WDA_003,SD07,148739120.55244344,154639,958780,1049479,16.128726089405284,154639,14.734835094365872,True
WDA_004,SD22,17376214.43758852,21727,1010820,293249,2.14944302645377,21727,7.4090619234848205,True
WDA_004,SD25,140770177.3516379,271522,1031657,293249,26.31901882117797,271522,92.59093807651519,True
WDA_005,SD04,509370.85812428326,0,1036270,1008654,0.0,0,0.0,False
WDA_005,SD12,7526654844.936136,357902,944035,1008654,37.91194182419084,357902,35.48312900161998,True
WDA_005,SD16,88412468.30131695,14820,963518,1008654,1.5381134550677829,14820,1.469284809260658,True
WDA_005,SD14,7953716649.827625,635932,1004564,1008654,63.30427926941439,635932,63.047586189119365,True
WDA_006,SD04,8312952207.696949,206474,1036270,597128,19.92473004139848,206474,34.57784595597594,True
WDA_006,SD01,1130004978.6110847,58113,943108,597128,6.161860571641848,58113,9.73208424324433,True
WDA_006,SD06,999318589.3120518,332541,969751,597128,34.29137995217329,332541,55.69006980077973,True
WDA_007,SD02,10495292386.564135,136463,996649,136463,13.69218250356946,136463,100.0,True
WDA_008,SD18,11604635989.33752,179702,970127,179702,18.523554132603255,179702,100.0,True
WDA_008,SD32,103.64267282422713,0,941977,179702,0.0,0,0.0,False
WDA_009,SD23,22954.301647030716,0,1036642,941446,0.0,0,0.0,False
WDA_009,SD04,34599386724.68734,32211,1036270,941446,3.1083597904021154,32211,3.4214389354248675,True
WDA_009,SD12,16911728864.315096,420759,944035,941446,44.57027546648165,420759,44.69284483655993,True
WDA_009,SD16,4235287094.546147,488476,963518,941446,50.697132798764535,488476,51.8857162280152,True
WDA_009,SD19,17.56401147723524,0,949159,941446,0.0,0,0.0,False
WDA_010,SD16,3605766435.2677226,152486,963518,152486,15.825962773918079,152486,100.0,True
WDA_011,SD33,0.722778059082593,0,1031541,3898747,0.0,0,0.0,False
WDA_011,SD27,309708024.12976974,665810,991317,3898747,67.16418663253026,665810,17.07753798848707,True
WDA_011,SD20,268172985.26816687,809785,942908,3898747,85.88165547434107,809785,20.770391102577314,True
WDA_011,SD25,447.8786696072369,0,1031657,3898747,0.0,0,0.0,False
WDA_011,SD26,173633460.70915696,826847,945855,3898747,87.41794461096045,826847,21.208018884015814,True
WDA_011,SD24,263472763.76309967,342740,1033200,3898747,33.172667440960126,342740,8.791029528204831,True
WDA_011,SD35,125032763.4894695,332422,949050,3898747,35.026816289974185,332422,8.526380398625507,True
