wda_id,ad_id,intersect_area_m2,district_pop_in_overlap,district_total_pop,wda_total_pop,district_overlap_pct,wda_pop_in_overlap,wda_overlap_pct,is_display_eligible
WDA_001,AD14,64291258.029133365,155862,474886,1241707,32.82092965469607,155862,12.552236558221866,True
WDA_001,AD16,1012187520.8558075,199372,516981,1241707,38.564666786593705,199372,16.05628380930445,True
WDA_001,AD18,96789001.83638582,91238,483986,1241707,18.85137173389313,91238,7.3477881658072315,True
WDA_001,AD20,412271436.3985889,516280,516280,1241707,100.0,516280,41.57824672003943,True
WDA_001,AD24,339275569.7617386,278955,477850,1241707,58.377105786334624,278955,22.46544474662702,True
WDA_002,AD59,60505403.715569176,65891,471260,346842,13.981878368628783,65891,18.997410924859157,True
WDA_002,AD67,34209287.385611504,141013,472184,346842,29.86399369737221,141013,40.65626423558854,True
WDA_002,AD68,37067032.0280363,139920,483589,346842,28.933660608491923,139920,40.341135156641926,True
WDA_002,AD70,17451.181749350617,18,471258,346842,0.0038195638058133763,18,0.005189682910374176,False
WDA_003,AD11,278912587.4476181,65963,520428,1049479,12.674760005226467,65963,6.2853091867488535,True
WDA_003,AD14,165187729.634835,154678,474886,1049479,32.57160665928244,154678,14.738551223988283,True
WDA_003,AD15,898148561.9422642,511229,511229,1049479,100.0,511229,48.71264694195882,True
WDA_003,AD16,603864285.8754392,317609,516981,1049479,61.435333213406295,317609,30.26349264730404,True
WDA_004,AD41,110211934.33805394,187616,483563,293249,38.798667391839324,187616,63.97839378821411,True
WDA_004,AD48,10239053.98080174,22009,480889,293249,4.576731844562882,22009,7.505225934274286,True
WDA_004,AD49,37695403.470370665,83624,473503,293249,17.660711758954008,83624,28.516380277511605,True
WDA_005,AD27,6439752276.451624,151762,521398,1008654,29.106747628491096,151762,15.045991985358706,True
WDA_005,AD31,1499467921.7934074,495469,495469,1008654,100.0,495469,49.12179994329076,True
WDA_005,AD32,0.8337843886928109,0,518633,1008654,0.0,0,0.0,False
WDA_005,AD33,120561288.35721959,40882,515800,1008654,7.92594028693292,40882,4.05312426263119,True
WDA_005,AD08,7509511846.487143,320541,503696,1008654,63.63778946030939,320541,31.779083808719342,True
WDA_006,AD01,8101180377.364343,91840,512334,597128,17.92580621235366,91840,15.380286973647191,True
WDA_006,AD03,445822933.738075,7462,495048,597128,1.5073285822788902,7462,1.2496483166088344,True
WDA_006,AD05,1895272460.333867,497826,497826,597128,100.0,497826,83.37006470974397,True
WDA_006,AD06,4.183742377799675,0,517094,597128,0.0,0,0.0,False
WDA_007,AD02,10495292386.564135,136463,506650,136463,26.934372841211886,136463,100.0,True
WDA_008,AD36,11604635980.46503,179702,480861,179702,37.370882645920545,179702,100.0,True
WDA_008,AD75,112.51516206170376,0,474296,179702,0.0,0,0.0,False
WDA_009,AD32,12604735154.891645,367948,518633,941446,70.94573619495867,367948,39.08328252496691,True
WDA_009,AD34,3659471021.6861515,47709,526113,941446,9.068203978993106,47709,5.067630007456614,True
WDA_009,AD35,4882815354.898282,493578,493578,941446,100.0,493578,52.42764853215161,True
WDA_009,AD39,17399.250849762946,0,481961,941446,0.0,0,0.0,False
WDA_009,AD08,34599386724.68734,32211,503696,941446,6.394928687144627,32211,3.4214389354248675,True
WDA_010,AD33,3605766435.2677226,152486,515800,152486,29.56300891818534,152486,100.0,True
WDA_011,AD40,124521123.53736399,227134,515962,3898747,44.021458944650966,227134,5.825820449493132,True
WDA_011,AD41,442.93330128947554,0,483563,3898747,0.0,0,0.0,False
WDA_011,AD42,145398956.75175586,75916,516939,3898747,14.685678581031805,75916,1.9471896996650462,True
WDA_011,AD43,130008105.4114444,481652,506248,3898747,95.14151167016956,481652,12.354020407069246,True
WDA_011,AD44,136863584.41506153,269086,513342,3898747,52.41846566226804,269086,6.901858468887569,True
